class,cap-shape,cap-surface,cap-color,gill-attachment,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,habitat
e,b,s,y,f,w,w,p,w,o,g
e,x,f,g,f,w,w,p,w,o,u
e,x,y,n,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,g
e,b,y,w,f,w,w,p,w,o,g
e,x,s,y,f,w,w,p,w,o,m
e,f,f,y,f,w,w,p,w,o,d
e,b,y,y,f,w,w,p,w,o,g
e,x,f,n,f,w,w,p,w,o,g
e,x,f,y,f,w,w,p,w,o,d
e,x,s,y,f,w,w,p,w,o,m
e,f,s,g,f,w,w,p,w,o,g
e,x,f,n,f,w,w,p,w,o,u
e,f,s,g,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,p
e,b,y,w,f,w,w,p,w,o,g
e,b,s,y,f,w,w,p,w,o,m
e,x,y,y,f,w,w,p,w,o,p
e,s,f,g,f,w,w,p,w,o,u
e,f,y,n,f,w,w,p,w,o,p
p,x,y,n,f,w,w,p,w,o,u
e,x,y,y,f,w,w,p,w,o,p
e,x,y,y,f,w,w,p,w,o,g
e,x,f,n,f,w,w,p,w,o,g
e,x,f,n,f,w,w,p,w,o,g
e,f,s,n,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,p
e,x,s,y,f,w,w,p,w,o,g
e,f,f,n,f,w,w,p,w,o,u
e,x,y,y,f,w,w,p,w,o,p
e,x,f,y,f,w,w,p,w,o,d
e,b,y,y,f,w,w,p,w,o,g
e,x,f,g,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,g
e,x,s,y,f,w,w,p,w,o,m
e,s,f,n,f,w,w,p,w,o,u
e,x,s,w,f,w,w,p,w,o,m
e,b,s,w,f,w,w,p,w,o,g
e,s,f,n,f,w,w,p,w,o,u
e,b,y,y,f,w,w,p,w,o,m
e,x,y,y,f,w,w,p,w,o,g
e,b,y,y,f,w,w,p,w,o,g
p,x,y,n,f,w,w,p,w,o,u
e,x,s,w,f,w,w,p,w,o,g
e,x,y,w,f,w,w,p,w,o,m
e,b,s,w,f,w,w,p,w,o,g
e,x,f,n,f,g,w,p,w,o,d
p,x,s,n,f,w,w,p,w,o,u
e,x,y,n,f,w,w,p,w,o,p
e,x,s,n,f,w,w,p,w,o,g
e,b,y,y,f,w,w,p,w,o,m
e,x,s,y,f,w,w,p,w,o,m
e,b,s,y,f,w,w,p,w,o,m
e,x,s,y,f,w,w,p,w,o,m
e,b,y,w,f,w,w,p,w,o,g
e,x,f,g,f,w,w,p,w,o,u
e,f,y,n,f,w,w,p,w,o,g
e,x,f,g,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,x,y,y,f,w,w,p,w,o,m
e,x,f,g,f,w,w,p,w,o,u
p,x,s,n,f,w,w,p,w,o,u
e,b,y,w,f,w,w,p,w,o,g
e,b,y,w,f,w,w,p,w,o,m
p,x,y,n,f,w,w,p,w,o,u
e,b,s,y,f,w,w,p,w,o,m
e,x,s,w,f,w,w,p,w,o,m
e,x,y,y,f,w,w,p,w,o,m
e,b,y,y,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,x,s,w,f,w,w,p,w,o,g
e,x,y,n,f,w,w,p,w,o,p
e,x,s,w,f,w,w,p,w,o,m
e,x,s,n,f,w,w,p,w,o,g
e,x,y,n,f,w,w,p,w,o,p
e,x,y,y,f,w,w,p,w,o,g
p,x,y,n,f,w,w,p,w,o,g
e,b,y,y,f,w,w,p,w,o,g
e,x,f,w,f,w,w,p,w,o,d
p,x,s,n,f,w,w,p,w,o,u
e,x,y,y,f,w,w,p,w,o,g
e,f,f,g,f,w,w,p,w,o,g
e,x,y,w,f,w,w,p,w,o,g
e,b,y,w,f,w,w,p,w,o,m
p,x,y,n,f,w,w,p,w,o,u
e,f,y,n,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,x,s,w,f,w,w,p,w,o,d
e,f,y,n,f,w,w,p,w,o,p
e,b,s,w,f,w,w,p,w,o,m
e,x,s,w,f,w,w,p,w,o,g
e,f,f,g,f,w,w,p,w,o,u
e,x,y,w,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,g
e,b,s,y,f,w,w,p,w,o,g
e,b,s,y,f,w,w,p,w,o,g
e,f,s,w,f,w,w,p,w,o,d
e,b,s,w,f,w,w,p,w,o,m
e,x,f,y,f,w,w,p,w,o,d
e,x,y,w,f,w,w,p,w,o,m
e,b,y,y,f,w,w,p,w,o,m
e,x,y,n,f,w,w,p,w,o,p
e,x,y,w,f,w,w,p,w,o,m
e,x,y,w,f,w,w,p,w,o,m
e,x,y,y,f,w,w,p,w,o,p
e,x,y,w,f,w,w,p,w,o,m
e,x,s,y,f,w,w,p,w,o,m
e,x,y,n,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,g
e,b,s,w,f,w,w,p,w,o,m
e,x,f,n,f,g,p,p,w,o,d
e,x,y,w,f,w,w,p,w,o,m
e,b,s,w,f,w,w,p,w,o,g
e,b,s,y,f,w,w,p,w,o,m
e,x,f,y,f,w,w,p,w,o,d
e,b,s,w,f,w,w,p,w,o,m
e,x,s,g,f,w,w,p,w,o,g
e,b,s,w,f,w,w,p,w,o,g
e,b,s,y,f,w,w,p,w,o,m
e,f,y,y,f,w,w,p,w,o,p
e,f,y,n,f,w,w,p,w,o,p
e,x,s,w,f,w,w,p,w,o,m
e,f,y,y,f,w,w,p,w,o,g
e,b,s,w,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,m
e,x,f,n,f,w,w,p,w,o,u
e,f,y,n,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,x,s,y,f,w,w,p,w,o,g
e,b,y,y,f,w,w,p,w,o,g
e,f,y,y,f,w,w,p,w,o,p
e,x,y,y,f,w,w,p,w,o,g
e,x,y,w,f,w,w,p,w,o,m
e,f,f,w,f,w,w,p,w,o,d
e,s,f,g,f,w,w,p,w,o,u
e,f,s,y,f,w,w,p,w,o,d
e,f,f,g,f,w,w,p,w,o,u
e,x,f,n,f,w,w,p,w,o,u
e,b,y,w,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,d
e,b,y,y,f,w,w,p,w,o,m
e,b,y,y,f,w,w,p,w,o,m
e,b,y,y,f,w,w,p,w,o,g
e,f,s,w,f,w,w,p,w,o,d
e,f,f,g,f,w,w,p,w,o,u
e,f,s,w,f,w,w,p,w,o,d
e,f,y,y,f,w,w,p,w,o,g
e,x,y,w,f,w,w,p,w,o,m
e,s,f,n,f,w,w,p,w,o,u
e,x,y,n,f,w,w,p,w,o,p
e,x,y,n,f,w,w,p,w,o,p
e,f,f,y,f,w,w,p,w,o,d
p,f,s,n,f,w,w,p,w,o,g
p,x,s,n,f,w,w,p,w,o,u
e,f,y,n,f,w,w,p,w,o,p
e,x,y,y,f,w,w,p,w,o,g
e,b,s,y,f,w,w,p,w,o,m
e,f,f,w,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,g
e,x,y,w,f,w,w,p,w,o,g
e,b,s,y,f,w,w,p,w,o,m
e,x,s,y,f,w,w,p,w,o,g
e,b,y,y,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,b,s,y,f,w,w,p,w,o,m
e,b,y,y,f,w,w,p,w,o,g
p,x,s,n,f,w,w,p,w,o,g
e,x,s,g,f,w,w,p,w,o,g
e,f,s,n,f,w,w,p,w,o,g
e,x,f,w,f,w,w,p,w,o,d
e,f,f,g,f,w,w,p,w,o,u
e,f,f,n,f,w,w,p,w,o,u
e,b,y,y,f,w,w,p,w,o,g
e,x,f,w,f,w,w,p,w,o,d
e,s,f,g,f,w,w,p,w,o,u
e,x,f,n,f,w,w,p,w,o,u
e,x,f,w,f,w,w,p,w,o,g
e,x,y,n,f,w,w,p,w,o,p
e,b,s,y,f,w,w,p,w,o,g
e,x,y,w,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,b,s,w,f,w,w,p,w,o,g
e,f,y,y,f,w,w,p,w,o,p
p,x,s,n,f,w,w,p,w,o,u
e,f,f,g,f,w,w,p,w,o,u
e,b,s,y,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,p
e,x,s,y,f,w,w,p,w,o,m
e,x,f,n,f,w,w,p,w,o,u
e,f,y,y,f,w,w,p,w,o,p
e,x,y,n,f,w,w,p,w,o,p
e,x,s,w,f,w,w,p,w,o,g
p,x,y,w,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,p
p,f,s,n,f,w,w,p,w,o,g
e,x,f,w,f,w,w,p,w,o,g
e,b,y,w,f,w,w,p,w,o,m
e,s,f,n,f,w,w,p,w,o,u
e,x,y,y,f,w,w,p,w,o,m
e,f,s,w,f,w,w,p,w,o,d
e,x,s,y,f,w,w,p,w,o,m
e,f,f,g,f,w,w,p,w,o,g
p,x,y,w,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,g
e,f,f,n,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,b,y,y,f,w,w,p,w,o,m
e,f,f,g,f,w,w,p,w,o,u
e,x,f,y,f,w,w,p,w,o,d
e,x,s,y,f,w,w,p,w,o,m
e,f,f,n,f,w,w,p,w,o,u
e,x,f,g,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,p
e,f,s,w,f,w,w,p,w,o,d
e,x,s,y,f,w,w,p,w,o,g
e,f,y,y,f,w,w,p,w,o,p
p,x,y,n,f,w,w,p,w,o,u
e,x,f,w,f,w,w,p,w,o,d
e,x,s,w,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,m
e,b,s,y,f,w,w,p,w,o,g
e,x,s,y,f,w,w,p,w,o,d
e,x,s,y,f,w,w,p,w,o,d
e,x,f,w,f,w,w,p,w,o,g
e,b,s,w,f,w,w,p,w,o,m
p,x,y,w,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,g
e,f,s,g,f,w,w,p,w,o,g
p,x,s,n,f,w,w,p,w,o,g
e,b,y,w,f,w,w,p,w,o,m
e,x,s,w,f,w,w,p,w,o,m
e,f,f,y,f,w,w,p,w,o,d
e,x,s,y,f,w,w,p,w,o,g
e,b,y,w,f,w,w,p,w,o,g
e,x,y,n,f,w,w,p,w,o,g
e,x,s,y,f,w,w,p,w,o,g
e,x,f,n,f,w,w,p,w,o,u
e,x,s,y,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,g
p,x,s,n,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,x,s,y,f,w,w,p,w,o,m
e,x,y,w,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,g
e,f,y,y,f,w,w,p,w,o,g
e,x,y,w,f,w,w,p,w,o,m
e,s,f,g,f,w,w,p,w,o,u
e,f,f,n,f,w,w,p,w,o,u
e,s,f,g,f,w,w,p,w,o,u
e,x,y,w,f,w,w,p,w,o,m
p,x,s,w,f,w,w,p,w,o,u
e,x,s,g,f,w,w,p,w,o,g
e,x,y,y,f,w,w,p,w,o,g
p,x,y,w,f,w,w,p,w,o,g
e,x,s,y,f,w,w,p,w,o,m
p,x,s,n,f,w,w,p,w,o,u
e,b,s,y,f,w,w,p,w,o,m
e,b,y,w,f,w,w,p,w,o,m
p,x,y,w,f,w,w,p,w,o,g
p,x,s,n,f,w,w,p,w,o,u
e,x,s,g,f,w,w,p,w,o,g
e,x,y,n,f,w,w,p,w,o,g
e,f,f,w,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,p
e,b,y,w,f,w,w,p,w,o,m
e,b,s,w,f,w,w,p,w,o,g
e,x,s,g,f,w,w,p,w,o,g
e,f,y,n,f,w,w,p,w,o,g
e,x,s,w,f,w,w,p,w,o,m
e,f,f,g,f,w,w,p,w,o,u
e,f,s,n,f,w,w,p,w,o,g
e,x,f,g,f,w,w,p,w,o,g
e,f,s,w,f,w,w,p,w,o,g
p,x,s,w,f,w,w,p,w,o,u
e,x,y,y,f,w,w,p,w,o,g
e,b,s,w,f,w,w,p,w,o,g
e,f,f,g,f,w,w,p,w,o,g
e,b,y,w,f,w,w,p,w,o,g
e,b,s,y,f,w,w,p,w,o,m
e,s,f,g,f,w,w,p,w,o,u
e,f,y,y,f,w,w,p,w,o,g
e,b,s,w,f,w,w,p,w,o,g
e,x,f,w,f,w,w,p,w,o,d
e,f,y,y,f,w,w,p,w,o,p
e,f,f,g,f,w,w,p,w,o,u
e,x,s,w,f,w,w,p,w,o,m
e,f,f,y,f,w,w,p,w,o,d
e,s,f,g,f,w,w,p,w,o,u
e,b,y,w,f,w,w,p,w,o,g
e,b,s,w,f,w,w,p,w,o,g
